GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
XINACT_MERGED	20	na	0.79997	2.2945	0	0	0	0.5	0.0499	0.476	0	0
GNF_FEMALE_GENES	85	na	0.48452	1.8923	0.01323	0.044661	0.09	0.506	0.227	0.393	0	0.005
cell_cycle_arrest	33	Any process by which progression through the cell cycle is halted during one of the normal phases (G1, S, G2, M).	0.53835	1.6562	0.01504	0.5568	0.558	0.273	0.111	0.243	0.28079	0.187
telPathway	18	BioCarta	0.58194	1.612	0.02326	0.64268	0.644	0.5	0.153	0.424	0.375	0.216
INSULIN_2F_UP	196	Rome_et_al_2003	0.47989	1.6055	0.03036	0.54562	0.658	0.439	0.203	0.354	0.31814	0.178
mRNA_splicing	50	BioCarta	0.59701	1.5622	0.05639	0.65746	0.715	0.58	0.282	0.418	0.41205	0.214
Proteasome_Degradation	31	BioCarta	0.64275	1.5228	0.09452	0.77616	0.768	0.548	0.194	0.443	0.50893	0.266
LEU_DOWN	166	Peng_at_al_2002	0.5368	1.5159	0.109	0.71723	0.777	0.5	0.209	0.4	0.475	0.24
RAP_DOWN	214	Peng_at_al_2002	0.52082	1.5037	0.1269	0.69913	0.79	0.551	0.26	0.414	0.46914	0.232
proteasomePathway	21	BioCarta	0.68232	1.4797	0.09294	0.73905	0.811	0.667	0.222	0.519	0.49175	0.255
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway	31	Signalling Transduction KE	0.45796	1.465	0.06571	0.75026	0.829	0.484	0.251	0.363	0.50982	0.255
GLUT_DOWN	288	Peng_at_al_2002	0.4781	1.4371	0.166	0.83163	0.85	0.51	0.269	0.38	0.59375	0.283
mRNA_processing	43	BioCarta	0.54971	1.4159	0.1587	0.87875	0.866	0.605	0.282	0.435	0.64078	0.306
SA_G1_AND_S_PHASES	15	SigmaAldrich	0.50964	1.3703	0.1209	1	0.898	0.333	0.0891	0.304	0.80479	0.395
rhoPathway	30	BioCarta	0.4454	1.3586	0.1522	1	0.903	0.267	0.144	0.229	0.79796	0.398
mtorPathway	23	BioCarta	0.51705	1.3552	0.1487	1	0.903	0.565	0.258	0.42	0.76339	0.376
cellcyclePathway	23	Cyclins interact with cyclin-dependent kinases to form active kinase complexes that regulate progression through the cell cycle.	0.51202	1.3388	0.1603	1	0.911	0.565	0.244	0.428	0.80975	0.401
raccycdPathway	22	BioCarta	0.49811	1.2977	0.236	1	0.924	0.5	0.251	0.375	0.96658	0.478
TCA	15	Manually Curated	0.60781	1.2912	0.234	1	0.924	0.533	0.246	0.402	0.94425	0.469
MAP00193_ATP_synthesis	18	GenMAPP	0.43544	1.2654	0.2039	1	0.934	0.278	0.103	0.249	0.99379	0.496
MAP03070_Type_III_secretion_system	18	GenMAPP	0.43544	1.2654	0.2039	1	0.934	0.278	0.103	0.249	0.99379	0.496
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases	33	SignallingAlliance	0.36398	1.2587	0.1627	1	0.938	0.121	0.0121	0.12	0.96976	0.486
Cell_Cycle	76	The progression of biochemical and morphological events that occur during nuclear or cellular replication.	0.43622	1.2577	0.2303	1	0.939	0.513	0.244	0.39	0.92935	0.452
GLUCOSE_DOWN	148	Peng_at_al_2002	0.3545	1.2517	0.2212	1	0.943	0.399	0.229	0.31	0.93502	0.453
